Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
;d’AVRIL, Édouard. Grenoble.;5;Le passage du ruisseau. . . . . . 1000;;
;d’AVRIL, Édouard. Grenoble.;6;Un lavoir. . . . . . . . . . . . . 600;;
BÆR, Gil,; né en Alsace. Asnières.;7;« Dans les sentiers remplis d’ivresse»;;
BALLUE, Pierre-Ernest.;Paris.;8;Dans les cascades de Cernay. . . . fr. 400;;
BAUDIT, Amédée.;Suisse. — Bordeaux.;9;La fenêtre de ma voisine. . . . . . 1200;;
BAUDIT, Amédée.;Suisse. — Bordeaux.;10;La chute du Mahourat ;(Cauterets). . 1000;
BAUDIT, Amédée.;Suisse. — Bordeaux.;11;Fleurs. . . . . . . . . . . . . . . 500;;
BAUDUIN, Roland.;Anvers.;12;Une page d’amour. . . . . . . . . 250;;
BAUDUIN, Roland.;Anvers.;13;Après le bal. . . . . . . . . . . . 250;;
BAUDUIN, Roland.;Anvers.;14;Souvenir d’Ostende. . . . . . . . . 250;;
BECK, Jules.;Strasbourg.;15;La Suisse entre 2000 et 4600 mètres d’altitude. ;(Vues photographiques.);
BELLANGÉ, Eugène.;Paris.;16;Épisode de Wagram, 1809. ;1809. (L’artillerie française s’apprête à soutenir une charge de cavalerie dirigée au loin contre l’armée autrichienne). . . 2500;
BELLANGÉ, Eugène.;Paris.;17;Le retour au pays ;(Normandie). . . 600;
BELLANGÉ, Eugène.;Paris.;18;Souvenir d’Interlaken. . . . . . . . 1200;;
BELLANGER, Félix-Pierre.;Paris.;19;Après le repas. . . . . . . . . . . fr. 500;;
BERTHÉLEMY, Pierre-Émile.;Paris.;20;Vue de l’église de St.-Vaast-la-Hougue 500;;
BIDLINGMEYER, Jules.;Mulhouse.;21;Bécasse et poissons. . . . . . . . . 200;;
BIDLINGMEYER, Jules.;Mulhouse.;22;Bords de l’Ill. . . . . . . . . . . 100;;
BIRONNEAU, Mlle Marie.;Paris.;23;Tête de genre ;(pâte tendre). . . . . 75;
BIRONNEAU, Mlle Marie.;Paris.;24;Jeune Italien ;(faïence). . . . . 75;
BIVA, Paul.;Paris.;25;Roses. . . . . . . . . . . . . . . 300;;
BIVA, Paul.;Paris.;26;Fruits et fleurs. . . . . . . . . . . 350;;
BOCION, François.;Lausanne.;27;Environs d’Evian. . . . . . . . . 1200;;
BOCION, François.;Lausanne.;28;Grand canal à Venise. . . . . . . 1000;;
BOCION, François.;Lausanne.;29;A Clarens ;(lac Léman). . . . . . . 500;
BOCION, François.;Lausanne.;30;Les Filets. . . . . . . . . . . . . 700;;
BOQUENTIN, Mlle Marie.;Strasbourg.;31;Lady Catharine Howard, d’après Wilkin ;d’après Wilkin (miniature). . . . . . . . 300;
COURTAT, Louis.;Paris.;55;Jeune fille. . . . . . . . . . . . . fr. 800;;
COURTAT, Louis.;Paris.;56;Tête de jeune fille. . . . . . . . . 800;;
