Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
HANNOTIAU (Alex.; Aug.). — 118, chaussée do Bruxelles.;112;Les Cinq Béguines.;;
JACQUES (Léon).; — 20, rue de la Buanderie, Bruxelles.;113;Le Lys.;;
JACQUES (Léon).; — 20, rue de la Buanderie, Bruxelles.;114;Parfuns du Soir.;;
JACQUES (Léon).; — 20, rue de la Buanderie, Bruxelles.;115;Le Sphinx.;;
JACQUIN.;;116;Charité.;;
JACQUIN.;;117;La Nature victorieuse de l’Idée.;;
KINOPFF (Fernan).; — 1, quai St-Bernard, Bruxelles.;118;I lock my door upon myself.;;
KINOPFF (Fernan).; — 1, quai St-Bernard, Bruxelles.;119;L’Offrande.;;
KINOPFF (Fernan).; — 1, quai St-Bernard, Bruxelles.;120;Victoria.;;
KINOPFF (Fernan).; — 1, quai St-Bernard, Bruxelles.;121;Dessins pour une Sphinge.;;
KINOPFF (Fernan).; — 1, quai St-Bernard, Bruxelles.;122;Dessins pour Victoria.;;
LADUMOND.; — Paris.;123;L’Éternelle Gloire.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;124;La Première Relique.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;125;Sainte Cécile, martyre.;martyre.;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;126;Sainte Madeleine.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;127;L'Appel.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;128;Cléopâtre ;— Cléopâtre (esquisse).;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;129;Communion mystique de sainte Madeleine ;(esquisse).;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;130;La Fuite en Égypte ;(esquisse).;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;131;Sainte Élisabeth ;(esquisse).;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;132;L’Étoile du Matin.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;133;Idylle.;;
LA LYRE (Adolphe).; — 4, rue Saint-Paul.;134;Sainte Perpétue, martyre ;martyre (dessin).;
LE PETIT (Afred).; — 128, boulevard de Courcelles.;135;Une Morte.;;
LORIN (Georges).; — 7, rue Campagne-Première.;136;Le Silence.;;
LORIN (Georges).; — 7, rue Campagne-Première.;137;La Source.;;
MALVAL.; — 13, rue Molitor.;138;Cheval pâle.;;
MARCIUS SIMMONS.; —;139;Esquisse.;;
MARCIUS SIMMONS.; —;140;L’âge de la Foi.;;
MASSY (Baron de Massy.).;;141;Intuition.;;
MASSY (Baron de Massy.).;;142;Dernier regard sur la vie.;;
MASSY (Baron de Massy.).;;143;Après.;;
MELL-DUMONT (F.).; — 93, avenue de Villiers.;144;La Fuite en Egypte.;;
MELL-DUMONT (F.).; — 93, avenue de Villiers.;145;L'Ange à l’Étoile.;;
MELL-DUMONT (F.).; — 93, avenue de Villiers.;146;Les Apôtres.;;
MERENTIER (François).; — 45, quai Bourbon.;147;Armoiries de l’Ordre laïque de le Rose † Croix, du. Temple et du Graal. Sceau de l’Ordre du Graal. Armoiries de l’Ordre du Graal.;du. Temple et du Graal. Sceau de l’Ordre du Graal. Armoiries de l’Ordre du Graal.;
MERENTIER (François).; — 45, quai Bourbon.;148;Sceau du Grand-Maître. Monogramme du Tigre.;;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;149;L'Amour vainqueur nargue la Sagesse.;;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;150;Erato ;(carton de tapisserie, esquisse).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;151;L’Architecture ;(esquisse décorative).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;152;La Musique sacrée ;(carton de vitrail, esquisse).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;153;Le Musique profane.;;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;154;Diane invulnérable ;(esquisse).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;155;La Terre nourricière ;(esquisse).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;156;Victoire ;(esquisse).;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;157;La Récolte des figues ;(esquisse.). AQUARELLES;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;158;Vénus Victorieuse.;;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;159;Junon se venge de Vénus. DESSIN;;
MOREAU-NÉRET.; — 15, rue Treilhard. PEINTURE;160;La Musique.;;
MORREN (George).; — 51, avenue Montaigne.;161;Ce qui a été sera ;(fatalité).;
MORREN (George).; — 51, avenue Montaigne.;162;Les Anges semant des Étoiles.;;
MORREN (George).; — 51, avenue Montaigne.;163;Recherches pour un carton en exécution , De dou¬ loureuse Aurore.;;
NOEL (Louis).; — 108, rue de Vaugirard.;164;Saint Thomas d’Aquin ;(statue plâtre).;
OGIER (Charles).; — 159 bis, boulevard Montparnasse.;165;Prière du Matin ;(pastel).;
OGIER (Charles).; — 159 bis, boulevard Montparnasse.;166;Moïse.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;167;Vision.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;168;Harmonie d’Automne.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;169;L’Adieu au Soleil.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;170;Le Sommeil.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;171;Causerie du Soir.;;
OSBERT (Alphonse).; — 7, rue Alain-Chartier.;172;Dessin pour l’Harmonie d’Automne ;(appartient à Pierre de Lano).;
OTTEVAERE (Henri).; — 31, rue de la Potterie.;173;Soir ;(dessin).;
OTTEVAERE (Henri).; — 31, rue de la Potterie.;174;Nuit ;(dessin).;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;175;I. Devant le livre ouvert...;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;176;II. Sidéral et Cosmogonique.;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;177;III. .. Dormante, elle rêve à d’orageuses mers.;elle rêve à d’orageuses mers.;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;178;IV.. Erraticité.;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;179;V. Au Seuil!;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;180;VI. Sur le Chemin.;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;181;VII. La Coupe du Motyre.;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;182;VIII Le christ est ressucité !;;
OUDART (Felix).; — 10, rue du Cherche-Midi. LES INTLUENCES :;183;IX. La Froide.;;
PAYNE (Lord Arthur).; — 15, rue Vernet.;184;Le Bain empoisonné.;;
PAYNE (Lord Arthur).; — 15, rue Vernet.;185;Religieuse.;;
PÉZIEUX.; — 38, Avenue Duquesne.;186;Tête de Christ ;(médaillon).;
PIERREY (Maurice).; — 56, rue de la Faisanderie.;187;Le Rayon de soleil.;;
PIERREY (Maurice).; — 56, rue de la Faisanderie.;188;Vesper.;;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;189;Lion.;;
